brand,model,year,price,currency,pub_date,title,url
Broom,425,2010,350000.0,GBP,2021-09-07,"£350,000 Yacht Tour : 2010 Broom 425",https://www.youtube.com/watch?v=MUx2-JUQQb0
Knierim,FC53,2018,1500000.0,GBP,2021-08-27,£1.5 Million Yacht Tour : 2018 Knierim FC53,https://www.youtube.com/watch?v=Z28jGEFUYWo
Hanse,388,2021,240000.0,GBP,2021-08-31,"£240,000 Yacht Tour : Hanse 388",https://www.youtube.com/watch?v=kMQpHSvyZ3o
Jeanneau,NC37,2021,314000.0,GBP,2021-08-29,"£314,000 Yacht Tour : Jeanneau NC37",https://www.youtube.com/watch?v=IM0kh7fKxVM
Aquastar,48,2005,295000.0,GBP,2021-08-24,"£295,000 Yacht Tour : 2005 Aquastar 48",https://www.youtube.com/watch?v=6PoZ4tg25h0
Discovery,58,2017,1050000.0,GBP,2021-08-20,"£1,050,000 Yacht Tour : 2017 Discovery 58",https://www.youtube.com/watch?v=JMzRnmAm0Sw
Jeanneau,Merry Fisher 1095,2021,160000.0,GBP,2021-08-17,"£160,000 Yacht Tour : Jeanneau Merry Fisher 1095",https://www.youtube.com/watch?v=y44aHji0TRA
Halvorsen,32,2005,120000.0,GBP,2021-08-15,"£120,000 Yacht Tour : 2005 Halvorsen 32",https://www.youtube.com/watch?v=_bxPhJG8N34
"£525,000",2006 Spirit 54,2021,,Not available,2021-08-13,"007 Yacht Tour : £525,000 2006 Spirit 54",https://www.youtube.com/watch?v=Wq_oV4qU3GY
Windy,SR44 Blackhawk,2021,840000.0,EUR,2021-08-10,"€840,000 Yacht Tour : Windy SR44 Blackhawk",https://www.youtube.com/watch?v=6TdlIp3226s
Hanse,548,2021,700000.0,GBP,2021-07-27,"£700,000 Yacht Tour : Hanse 548",https://www.youtube.com/watch?v=ycCwFA7cBTQ
Haines,32 Sedan,2019,210000.0,GBP,2021-08-03,"£210,000 Yacht Tour : 2019 Haines 32 Sedan",https://www.youtube.com/watch?v=LW-cQPwI4Mc
Fairline,Targa 43,2001,150000.0,GBP,2021-08-01,"£150,000 Yacht Tour : 2001 Fairline Targa 43",https://www.youtube.com/watch?v=Zd6DkG7vhOc
Triqual,65,2002,400000.0,GBP,2021-07-30,"£400,000 Yacht Tour : 2002 Triqual 65",https://www.youtube.com/watch?v=hHQdjOvRsGk
Regal,Ventura 6.8,1999,23000.0,GBP,2021-07-25,"£23,000 Yacht Tour : 1999 Regal Ventura 6.8",https://www.youtube.com/watch?v=fxEgFKC42MA
Jeanneau,NC33,2021,275000.0,GBP,2021-07-20,"£275,000 Yacht Tour : Jeanneau NC33",https://www.youtube.com/watch?v=H_yAOuwzHnA
Smartfish,25,2021,82000.0,GBP,2021-07-18,"£82,000 Yacht Tour : Smartfish 25",https://www.youtube.com/watch?v=xk2YKW2PpWI
Jeanneau,57,2011,329000.0,GBP,2021-07-13,"£329,000 Yacht Tour : 2011 Jeanneau 57",https://www.youtube.com/watch?v=h0HV-gmNh84
Sessa,C44,2021,577000.0,GBP,2021-07-09,"£577,000 Yacht Tour : Sessa C44",https://www.youtube.com/watch?v=mZp50oocgQw
,,,,Not available,2021-07-06,Custom refitted 2008 Setag Fairline Squadron 58,https://www.youtube.com/watch?v=C_OFm1f3zPE
Sealine,C335,2021,266000.0,GBP,2021-06-27,"£266,000 Yacht Tour : Sealine C335",https://www.youtube.com/watch?v=3weIfkwRGxc
Nordhavn,57,2004,790000.0,USD,2021-04-27,"$790,000 Yacht Tour : 2004 Nordhavn 57",https://www.youtube.com/watch?v=OW3naoJ-VvM
Supermarine,Spearfish 32,2021,300000.0,GBP,2021-06-20,"£300,000 Yacht Tour : Supermarine Spearfish 32",https://www.youtube.com/watch?v=7GPhvU9Fopk
Sunseeker,Predator 55 Evo,2021,1100000.0,GBP,2021-06-13,£1.1 Million Yacht Tour : Sunseeker Predator 55 Evo,https://www.youtube.com/watch?v=Uq6XOVVKTng
Jeanneau,Cap Camarat 9 0CC,2021,120000.0,GBP,2021-06-11,"£120,000 Yacht Tour : Jeanneau Cap Camarat 9 0CC",https://www.youtube.com/watch?v=U-MsrOZp9to
Nord,Star 31+,2021,305000.0,GBP,2021-06-04,"£305,000 Yacht Tour : Nord Star 31+",https://www.youtube.com/watch?v=jSBcVjAgOio
Broom,40 Ocean,1989,85000.0,GBP,2021-06-08,"£85,000 Yacht Tour : 1989 Broom 40 Ocean",https://www.youtube.com/watch?v=JASNrnmw8n0
Haines,36 Sedan,2021,292500.0,GBP,2021-06-01,"£292,500 Yacht Tour : Haines 36 Sedan",https://www.youtube.com/watch?v=O5PSiDUqUKM
Hanse,418,2021,280000.0,GBP,2021-05-30,"£280,000 Yacht Tour : Hanse 418",https://www.youtube.com/watch?v=Y6cL7wMVamk
Discovery,48S,2021,825000.0,GBP,2021-05-25,"£825,000 Yacht Tour : Discovery 48S",https://www.youtube.com/watch?v=ygVTF6yO7s0
Jeanneau,Leader 40,2021,333000.0,GBP,2021-05-23,"£333,000 Yacht Tour : Jeanneau Leader 40",https://www.youtube.com/watch?v=xNeZ90eGr3w
Fairline,Squadron 55,2004,200000.0,GBP,2021-05-21,"£200,000 Yacht Tour : 2004 Fairline Squadron 55",https://www.youtube.com/watch?v=V9kT81IVR9o
